frame_idx,class,confidence,x1,y1,x2,y2,preprocess_ms,inference_ms,postprocess_ms,total_latency_ms
38,class0,0.5018,166.4,127.7,192.0,229.0,7.40,108.29,1.45,117.14
38,class0,0.4925,211.1,232.4,243.9,283.8,7.40,108.29,1.45,117.14
38,class0,0.3911,261.5,611.8,320.1,639.2,7.40,108.29,1.45,117.14
39,class0,0.6682,0.0,128.3,109.6,288.5,8.09,104.90,1.47,114.47
40,class0,0.7188,169.9,313.3,185.3,379.7,8.49,107.52,2.30,118.31
40,class0,0.5336,357.0,300.3,392.4,346.1,8.49,107.52,2.30,118.31
40,class0,0.4780,278.0,238.5,300.2,275.3,8.49,107.52,2.30,118.31
40,class0,0.4752,219.5,492.3,241.7,526.5,8.49,107.52,2.30,118.31
41,class0,0.4870,356.8,140.8,387.6,182.7,9.27,107.85,2.30,119.42
41,class0,0.4570,0.7,307.6,24.1,334.1,9.27,107.85,2.30,119.42
42,class0,0.5085,201.6,134.3,233.7,177.4,7.77,106.36,2.18,116.31
42,class0,0.4659,406.6,207.9,430.9,251.4,7.77,106.36,2.18,116.31
42,class0,0.3837,605.8,621.5,639.4,640.0,7.77,106.36,2.18,116.31
43,class0,0.6776,4.2,395.7,78.0,460.3,7.90,108.93,2.15,118.98
43,class0,0.6512,85.0,199.4,125.7,242.2,7.90,108.93,2.15,118.98
43,class0,0.5341,322.2,200.5,365.3,252.6,7.90,108.93,2.15,118.98
44,class0,0.7205,166.0,478.4,212.0,540.2,7.50,103.35,1.48,112.33
44,class0,0.6059,604.0,423.2,640.0,472.7,7.50,103.35,1.48,112.33
45,class0,0.5942,428.3,233.1,449.8,268.8,7.23,104.55,1.49,113.27
45,class0,0.5748,585.0,558.1,620.4,604.5,7.23,104.55,1.49,113.27
45,class0,0.4176,105.8,338.5,123.2,377.0,7.23,104.55,1.49,113.27
